Data,#Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA
arrhythmia,452,274,14.6018,0.76875,0.78382,0.7780700000000002,0.8219299999999998,0.8004900000000001,0.7861,0.77866,0.77897,0.7811600000000001,0.7815300000000001
cardio,1831,21,9.6122,0.56917,0.81003,0.58673,0.8351,0.9213199999999999,0.7236299999999999,0.5735699999999999,0.82538,0.9348400000000001,0.95038
glass,214,9,4.2056,0.7950699999999999,0.8412499999999999,0.8726099999999999,0.73887,0.75691,0.85076,0.8644000000000001,0.7900600000000001,0.63236,0.6747
ionosphere,351,33,35.8974,0.9247599999999998,0.8971800000000002,0.8730400000000001,0.56144,0.84986,0.92674,0.8753499999999999,0.95566,0.8419199999999998,0.7962
